Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
0,10,20,0,0,100,5,0,0,0,0,0,0,0,0
